index;ID;author;title;year;frequency;degree;betweenness;closeness
259;259;Tieck, Ludwig;Prinz Zerbino oder die Reise nach dem guten Geschmack;1799;NESTOR;NESTOR;NESTOR;NESTOR
327;327;Hebbel, Friedrich;Genoveva;1843;GOLO;GOLO;GOLO;GOLO
49;49;Kleist, Heinrich von;Die Familie Schroffenstein;1803;SEVERAL;EUSTACHE;EUSTACHE;EUSTACHE
364;364;Hofmannsthal, Hugo von;Der Schwierige;1917;HANS KARL;SEVERAL;HANS KARL;SEVERAL
383;383;Goethe, Johann Wolfgang von;Erwin und Elmire;1775;SEVERAL;SEVERAL;SEVERAL;SEVERAL
91;91;Uhland, Ludwig;Ernst Herzog von Schwaben;1818;ERNST;ERNST;ERNST;ERNST
360;360;Müllner, Adolph;Die Schuld;1813;ELVIRE;ELVIRE;ELVIRE;ELVIRE
75;75;Ball, Hugo;Die Nase des Michelangelo;1911;SEVERAL;SEVERAL;SEVERAL;SEVERAL
54;54;Anzengruber, Ludwig;Der Meineidbauer;1871;VRONI;VRONI;VRONI;VRONI
31;31;Lessing, Gotthold Ephraim;Damon, oder die wahre Freundschaft;1747;DAMON;SEVERAL;SEVERAL;SEVERAL
206;206;Nestroy, Johann;Einen Jux will er sich machen;1842;WEINBERL;CHRISTOPH;ZANGLER;CHRISTOPH
394;394;Weißenthurn, Johanna von;Welche ist die Braut!;1813;SEVERAL;SEVERAL;WALDBERG;SEVERAL
442;442;Goethe, Johann Wolfgang von;Egmont;1788;EGMONT;EGMONT;EGMONT;EGMONT
58;58;Schiller, Friedrich;Wallensteins Tod;1799;WALLENSTEIN;WALLENSTEIN;WALLENSTEIN;WALLENSTEIN
96;96;Schiller, Friedrich;Kabale und Liebe;1784;FERDINAND;SEVERAL;FERDINAND;FERDINAND
299;299;Dehmel, Richard Fedor Leopold;Michel Michael;1911;EULENSPIEGEL;EULENSPIEGEL;EULENSPIEGEL;EULENSPIEGEL
365;365;Freytag, Gustav;Die Journalisten;1852;SEVERAL;SEVERAL;SEVERAL;SEVERAL
354;354;Benedix, Julius Roderich;Die Lügnerin;1862;CONSTANZE;SEVERAL;SEVERAL;SEVERAL
325;325;Hebbel, Friedrich;Der Rubin;1849;ASSAD;ASSAD;ASSAD;ASSAD
323;323;Wedekind, Frank;Franziska;1912;FRANZISKA;FRANZISKA;FRANZISKA;FRANZISKA
330;330;Klemm, Christian Gottlob;Der auf den Parnass versetzte grüne Hut;1767;APOLLO;SEVERAL;SEVERAL;SEVERAL
223;223;Holz, Arno;Die Familie Selicke;1890;SEVERAL;SEVERAL;SEVERAL;SEVERAL
449;449;Bodmer, Johann Jacob;Odoardo Galotti, Vater der Emilia;1776;ODOARDO;ODOARDO;ODOARDO;ODOARDO
143;143;Platen, August von;Der romantische Ödipus;1829;SEVERAL;SEVERAL;SEVERAL;SEVERAL
386;386;Hofmannsthal, Hugo von;Der Unbestechliche;1923;SEVERAL;BARONIN;BARONIN;BARONIN
63;63;Laube, Heinrich;Gottsched und Gellert;1845;GOTTSCHED;SEVERAL;SEVERAL;SEVERAL
27;27;Bauernfeld, Eduard von;Bürgerlich und Romantisch;1835;BARON;SEVERAL;PRÄSIDENT;SEVERAL
381;381;Stephanie, Johann Gottlieb (der Jüngere);Die Entführung aus dem Serail;1782;PEDRILLO;PEDRILLO;PEDRILLO;PEDRILLO
229;229;Mühsam, Erich;Staatsräson;1928;ROSA;ROSA;ROSA;ROSA
18;18;Malß, Karl;Der alte Bürger-Capitain oder Die Entführung;1820;CAPITAIN;CAPITAIN;CAPITAIN;CAPITAIN
46;46;Essig, Hermann;Überteufel;1912;SEVERAL;SEVERAL;SEVERAL;SEVERAL
424;424;Scheerbart, Paul;Der fanatische Bürgermeister;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
26;26;Gehe, Eduard Heinrich;Jessonda;1828;SEVERAL;SEVERAL;SEVERAL;SEVERAL
42;42;Gutzkow, Karl;Uriel Acosta;1846;URIEL;URIEL;URIEL;URIEL
265;265;Hofmannsthal, Hugo von;Das Salzburger große Welttheater;1922;SEVERAL;SEVERAL;SEVERAL;SEVERAL
24;24;Lautensack, Heinrich;Die Pfarrhauskomödie;1911;SEVERAL;SEVERAL;SEVERAL;SEVERAL
226;226;Neuber, Friederike Caroline;Die von der Weisheit wider die Unwissenheit beschützte Schauspielkunst;1736;UNWISSENHEIT;SCHAUSPIELKUNST;SCHAUSPIELKUNST;SCHAUSPIELKUNST
336;336;Schnitzler, Arthur;Der grüne Kakadu;1899;SEVERAL;SEVERAL;SEVERAL;SEVERAL
61;61;Gotter, Friedrich Wilhelm;Die Geisterinsel;1798;PROSPERO;MIRANDA;MIRANDA;MIRANDA
11;11;Ludwig, Otto;Der Erbförster;1850;FÖRSTERIN;ANDRES;ROBERT;ANDRES
88;88;Lessing, Gotthold Ephraim;Emilia Galotti;1772;MARINELLI;MARINELLI;DER PRINZ;MARINELLI
269;269;Kotzebue, August von;Der Wildschütz oder Die Stimme der Natur;1842;BACULUS;BACULUS;SEVERAL;BACULUS
140;140;Wedekind, Frank;Erdgeist;1895;LULU;LULU;SCHÖN;LULU
413;413;Wagner, Richard;Parsifal;1877;PARSIFAL;PARSIFAL;PARSIFAL;PARSIFAL
246;246;Gotter, Friedrich Wilhelm;Medea;1775;MEDEA;MEDEA;MEDEA;MEDEA
288;288;Hauptmann, Carl;Im goldenen Tempel-Buche verzeichnet;1909;SEVERAL;SEVERAL;SEVERAL;SEVERAL
430;430;Ludwig, Otto;Die Makkabäer;1854;SEVERAL;SEVERAL;SEVERAL;SEVERAL
70;70;Klabund;Der Kreidekreis;1925;HAITANG;HAITANG;HAITANG;HAITANG
76;76;Raimund, Ferdinand;Der Diamant des Geisterkönigs;1824;FLORIAN;EDUARD;LONGIMANUS;EDUARD
310;310;Scheerbart, Paul;Die Urgrossmutter;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
228;228;Simrock, Karl;Doctor Johannes Faust;1846;FAUST;FAUST;FAUST;FAUST
405;405;Kind, Johann Friedrich;Der Freischütz;1821;SEVERAL;MAX;KASPAR;MAX
252;252;Gottsched, Johann Christoph;Atalanta oder die bezwungene Sprödigkeit;1741;NISUS;SEVERAL;SEVERAL;SEVERAL
297;297;Scheerbart, Paul;Das Gift;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
446;446;Heine, Heinrich;William Ratcliff;1823;SEVERAL;RATCLIFF;RATCLIFF;RATCLIFF
85;85;Büchner, Georg;Dantons Tod;1835;SEVERAL;SEVERAL;SEVERAL;SEVERAL
343;343;Schnitzler, Arthur;Professor Bernhardi;1912;BERNHARDI;BERNHARDI;BERNHARDI;BERNHARDI
261;261;Müllner, Adolph;König Yngurd;1817;YNGURD;SEVERAL;ALF;SEVERAL
294;294;Gessner, Salomon;Evander und Alcimna;1762;EVANDER;EVANDER;EVANDER;EVANDER
39;39;Anzengruber, Ludwig;Heimg'funden;1885;DOKTOR HAMMER;THOMAS;THOMAS;THOMAS
445;445;Wieland, Christoph Martin;Lady Johanna Gray oder Der Triumf der Religion;1758;LADY JOHANNA GRAY;LADY JOHANNA GRAY;LADY JOHANNA GRAY;LADY JOHANNA GRAY
154;154;Schober, Franz von;Alfonso und Estrella;1854;CHOR;CHOR;CHOR;CHOR
233;233;Freytag, Gustav;Graf Waldemar;1848;SEVERAL;WALDEMAR;WALDEMAR;WALDEMAR
378;378;Grabbe, Christian Dietrich;Napoleon oder Die hundert Tage;1831;NAPOLEON;SEVERAL;SEVERAL;SEVERAL
114;114;Hartleben, Otto Erich;Rosenmontag;1898;HANS RUDORFF;MORITZ DIESTERBEG;MORITZ DIESTERBEG;MORITZ DIESTERBEG
108;108;Grillparzer, Franz;Sappho;1818;SAPPHO;MELITTA;MELITTA;MELITTA
375;375;Hofmannsthal, Hugo von;Elektra;1903;SEVERAL;SEVERAL;SEVERAL;SEVERAL
411;411;Birch-Pfeiffer, Charlotte;Johannes Gutenberg;1835;GUTTENBERG;GUTTENBERG;GUTTENBERG;GUTTENBERG
285;285;Tieck, Ludwig;Der gestiefelte Kater;1797;SEVERAL;FISCHER;FISCHER;FISCHER
280;280;Prutz, Robert Eduard;Die politische Wochenstube;1845;SEVERAL;SEVERAL;SEVERAL;SEVERAL
356;356;Goethe, Johann Wolfgang von;Proserpina;1778;SEVERAL;SEVERAL;SEVERAL;SEVERAL
203;203;Fock, Gorch;Cili Cohrs;1914;CILI;CILI;CILI;CILI
147;147;Lortzing, Albert (Gustav);Der Waffenschmied;1846;STADINGER;SEVERAL;SEVERAL;SEVERAL
340;340;Weißenthurn, Johanna von;Das Manuscript;1817;AUGUST;SEVERAL;SEVERAL;SEVERAL
113;113;Halm, Friedrich;Der Sohn der Wildnis;1842;PARTHENIA;PARTHENIA;PARTHENIA;PARTHENIA
465;465;Immermann, Karl;Das Gericht von St. Petersburg;1832;PETER;PETER;PETER;PETER
237;237;Hofmannsthal, Hugo von;Die Frau im Fenster;1898;SEVERAL;SEVERAL;SEVERAL;SEVERAL
403;403;Kaltneker, Hans;Das Bergwerk;1921;DIE MENGE;DIE MENGE;DIE MENGE;DIE MENGE
97;97;Scheerbart, Paul;Die Wurzeln der Wohlhabenheit;1904;WIEDEWITT;SEVERAL;SEVERAL;SEVERAL
196;196;Heiseler, Henry von;Peter und Alexéj;1912;SEVERAL;SEVERAL;SEVERAL;SEVERAL
279;279;Uhland, Ludwig;Ludwig der Bayer;1819;FRIEDRICH;FRIEDRICH;FRIEDRICH;FRIEDRICH
444;444;Grillparzer, Franz;Die Ahnfrau;1817;SEVERAL;SEVERAL;SEVERAL;SEVERAL
284;284;Heine, Heinrich;Almansor;1821;SEVERAL;ALY;ALMANSOR;ALY
407;407;Arnim, Ludwig Achim von;Das Loch oder Das Wiedergefundene Paradies;1811;RITTER;ESEL;ESEL;ESEL
179;179;Hebbel, Friedrich;Der Diamant;1847;SEVERAL;SEVERAL;PRINZ;SEVERAL
106;106;Goethe, Johann Wolfgang von;Der Bürgergeneral;1793;MÄRTEN;SEVERAL;SEVERAL;SEVERAL
151;151;Birch-Pfeiffer, Charlotte;Die Walpurgisnacht;1830;ELSE;ELSE;ELSE;ELSE
244;244;Gottsched, Johann Christoph;Der sterbende Cato;1731;CATO;CATO;CATO;CATO
19;19;Gutzkow, Karl;Das Urbild des Tartüffe;1846;SEVERAL;MOLIÈRE;LA ROQUETTE;MOLIÈRE
10;10;Grillparzer, Franz;Des Meeres und der Liebe Wellen;1831;SEVERAL;SEVERAL;SEVERAL;SEVERAL
120;120;Anzengruber, Ludwig;Der Gwissenswurm;1874;GRILLHOFER;DUSTERER;DUSTERER;DUSTERER
141;141;Scheerbart, Paul;Die Puppe und die Dauerwurst;1897;SEVERAL;SEVERAL;SEVERAL;SEVERAL
250;250;Scheerbart, Paul;Der Wetterfürst;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
298;298;Raimund, Ferdinand;Das Mädchen aus der Feenwelt oder Der Bauer als Millionär;1826;WURZEL;WURZEL;WURZEL;WURZEL
156;156;Iffland, August Wilhelm;Die Jäger;1785;OBERFÖRSTER;WIRTIN;WIRTIN;WIRTIN
331;331;Holtei, Karl von;Die Kalkbrenner;1825;SEVERAL;KOTZELUCH;KOTZELUCH;KOTZELUCH
37;37;Thoma, Ludwig;Die Medaille;1901;BEZIRKSAMTMANN;SEVERAL;SEVERAL;SEVERAL
153;153;Scheerbart, Paul;Herr Kammerdiener Kneetschke;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
30;30;Scheerbart, Paul;Der alte Petrus, oder Im Himmel spukt es auch;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
425;425;Wedekind, Frank;Der Marquis von Keith;1898;SEVERAL;SEVERAL;SEVERAL;SEVERAL
372;372;Grillparzer, Franz;Ein treuer Diener seines Herrn;1828;SEVERAL;SEVERAL;SEVERAL;SEVERAL
148;148;Wieland, Christoph Martin;Klementina von Porretta;1760;GRANDISON;SEVERAL;SEVERAL;SEVERAL
408;408;Brentano, Clemens;Ponce de Leon;1804;PONCE;PONCE;VALERIO;PONCE
112;112;Scheerbart, Paul;Okurirasûna;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
194;194;Lessing, Gotthold Ephraim;Philotas;1759;PHILOTAS;PHILOTAS;PHILOTAS;PHILOTAS
17;17;Schnitzler, Arthur;Der einsame Weg;1904;FELIX;FELIX;FELIX;FELIX
102;102;Hofmannsthal, Hugo von;Der Abenteurer und die Sängerin oder Die Geschenke des Lebens;1899;SEVERAL;SEVERAL;SEVERAL;SEVERAL
368;368;Panizza, Oskar;Nero;1898;NERO;NERO;ALLE MÄDCHEN;NERO
72;72;Schink, Johann Friedrich;Der neue Doktor Faust;1782;SEVERAL;ROSALINDE;ROSALINDE;ROSALINDE
402;402;L'Arronge, Adolph;Hasemann's Töchter;1879;ALBERTINE;EMILIE;EMILIE;EMILIE
188;188;Kotzebue, August von;Der Hyperboreische Esel, oder Die heutige Bildung;1799;KARL;SEVERAL;SEVERAL;SEVERAL
303;303;Iffland, August Wilhelm;Der Spieler;1796;HERR VON WALLENFELD;HERR VON WALLENFELD;HERR VON WALLENFELD;HERR VON WALLENFELD
385;385;Hauptmann, Carl;Tobias Buntschuh;1920;SEVERAL;WENDELBORN;WENDELBORN;WENDELBORN
258;258;Voß, Julius von;Faust;1823;FAUST;FAUST;FAUST;FAUST
366;366;Nestroy, Johann;Der Zerrissene;1844;LIPS;SEVERAL;ANTON;SEVERAL
441;441;Nestroy, Johann;Judith und Holofernes;1849;HOLOFERNES;JOJAKIM;JOJAKIM;JOJAKIM
362;362;Kleist, Heinrich von;Prinz Friedrich von Homburg;1810;DER PRINZ VON HOMBURG;DER PRINZ VON HOMBURG;DER PRINZ VON HOMBURG;DER PRINZ VON HOMBURG
292;292;Schnitzer, Ignaz;Der Zigeunerbaron;1885;BARINKAY;SEVERAL;DIE ZIGEUNER;SEVERAL
44;44;Malß, Karl;Jungfern Köchinnen;1835;FRENZ;SEVERAL;MADAME HAMMEL;SEVERAL
34;34;Scheerbart, Paul;Es lebe Europa!;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
100;100;Sudermann, Hermann;Heimat;1893;SEVERAL;FRAU SCHWARTZE;FRAU SCHWARTZE;FRAU SCHWARTZE
342;342;Schlegel, Johann Elias;Der Triumph der guten Frauen;1748;SEVERAL;CATHRINE;CATHRINE;CATHRINE
150;150;Schnitzler, Arthur;Komtesse Mizzi oder Der Familientag;1909;SEVERAL;SEVERAL;SEVERAL;SEVERAL
409;409;Goethe, Johann Wolfgang von;Götter, Helden und Wieland;1774;SEVERAL;SEVERAL;SEVERAL;SEVERAL
242;242;Bernard, Josef Karl;Faust;1816;FAUST;SEVERAL;CHOR;SEVERAL
192;192;Quistorp, Theodor Johann;Der Hypochondrist;1745;ERNST GOTTHART;SEVERAL;SEVERAL;SEVERAL
123;123;Goethe, Johann Wolfgang von;Götz von Berlichingen mit der eisernen Hand;1773;GÖTZ;GÖTZ;GÖTZ;GÖTZ
200;200;Nestroy, Johann;Das Mädl aus der Vorstadt oder Ehrlich währt am längsten;1841;SCHNOFERL;SCHNOFERL;SCHNOFERL;SCHNOFERL
296;296;Hebbel, Friedrich;Trauerspiel in Sizilien;1847;SEVERAL;SEVERAL;SEVERAL;SEVERAL
377;377;Wedekind, Frank;Die Zensur;1908;SEVERAL;SEVERAL;SEVERAL;SEVERAL
167;167;Immermann, Karl;Eudoxia;1832;SEVERAL;SEVERAL;SEVERAL;SEVERAL
59;59;Hauptmann, Carl;Die armseligen Besenbinder;1913;DER ALTE RASCHKE;RAPUNZEL;RAPUNZEL;RAPUNZEL
395;395;Gottsched, Luise Adelgunde Victorie;Der Witzling;1745;SEVERAL;JUNGFER LOTTCHEN;JUNGFER LOTTCHEN;JUNGFER LOTTCHEN
338;338;Lenz, Jakob Michael Reinhold;Der Hofmeister oder Vorteile der Privaterziehung;1774;GEHEIMER RAT;GEHEIMER RAT;GEHEIMER RAT;GEHEIMER RAT
225;225;Kotzebue, August von;Die deutschen Kleinstädter;1803;FRAU STAAR;FRAU STAAR;FRAU STAAR;FRAU STAAR
138;138;Scheerbart, Paul;Lachende Gespenster;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
15;15;Iffland, August Wilhelm;Das Erbtheil des Vaters;1802;DELOMER;DOMINIQUE;DOMINIQUE;DOMINIQUE
391;391;Lessing, Gotthold Ephraim;Der Misogyn;1755;WUMSHÄTER;SEVERAL;SEVERAL;SEVERAL
81;81;Rosenow, Emil;Kater Lampe;1902;SEVERAL;SEVERAL;SEVERAL;SEVERAL
419;419;Boßdorf, Hermann;De rode Ünnerrock;1923;PASTER;SEVERAL;SEVERAL;SEVERAL
65;65;Bleibtreu, Karl;Weltgericht;1888;SEVERAL;SEVERAL;SEVERAL;SEVERAL
51;51;Holz, Arno;Sozialaristokraten;1896;SEVERAL;SEVERAL;SEVERAL;SEVERAL
431;431;Raupach, Ernst;Kritik und Antikritik;1825;BARONIN;SEVERAL;HORST;BARONIN
146;146;Wedekind, Frank;Musik;1908;KLARA;KLARA;KLARA;KLARA
164;164;Schlegel, Friedrich;Alarkos;1802;ALVARO;ALVARO;ALVARO;ALVARO
248;248;Schlaf, Johannes;Meister Oelze;1892;SEVERAL;SEVERAL;SEVERAL;SEVERAL
212;212;Fouqué, Friedrich de la Motte;Der Held des Nordens;1810;SEVERAL;GUDRUNA;GUDRUNA;GUDRUNA
38;38;Goethe, Johann Wolfgang von;Die natürliche Tochter;1803;EUGENIE;EUGENIE;EUGENIE;EUGENIE
216;216;Bäuerle, Adolf;Doktor Faust's Mantel;1819;WINTER;WINTER;WINTER;WINTER
267;267;Hofmannsthal, Hugo von;Ariadne auf Naxos;1912;SEVERAL;SEVERAL;SEVERAL;SEVERAL
316;316;Meisl, Karl;Orpheus und Euridice So geht es im Olymp zu!;1813;JUPITER;ORPHEUS;ORPHEUS;ORPHEUS
414;414;Widmann, Joseph Viktor;Maikäfer-Komödie;1897;SEVERAL;HANS VON MAIKERF;HANS VON MAIKERF;HANS VON MAIKERF
371;371;Büchner, Georg;Leonce und Lena;1838;SEVERAL;PRÄSIDENT;PRÄSIDENT;PRÄSIDENT
247;247;Birch-Pfeiffer, Charlotte;Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297;1829;DER KAISER;SEVERAL;BANDINI;SEVERAL
253;253;Hebbel, Friedrich;Demetrius;1864;DEMETRIUS;DEMETRIUS;DEMETRIUS;DEMETRIUS
204;204;Braun von Braunthal, Karl Johann;Faust;1835;FAUST;FAUST;FAUST;FAUST
458;458;Goethe, Johann Wolfgang von;Des Epimenides Erwachen;1815;LIEBE;CHOR;CHOR;CHOR
249;249;Lessing, Gotthold Ephraim;Der Schatz;1755;SEVERAL;ANSELMO;ANSELMO;ANSELMO
40;40;Wedekind, Frank;Frühlings Erwachen;1891;MELCHIOR;MELCHIOR;MELCHIOR;MELCHIOR
43;43;Hebbel, Friedrich;Agnes Bernauer;1852;AGNES;ALBRECHT;ALBRECHT;ALBRECHT
126;126;Goethe, Johann Wolfgang von;Stella;1776;MADAME SOMMER;SEVERAL;SEVERAL;SEVERAL
139;139;Schumann, Robert;Genoveva;1850;SEVERAL;SEVERAL;SEVERAL;SEVERAL
33;33;Stephanie, Johann Gottlieb (der Jüngere);Der Schauspieldirektor;1786;SEVERAL;SEVERAL;SEVERAL;SEVERAL
129;129;Anzengruber, Ludwig;Das vierte Gebot;1877;MARTIN;MARTIN;MARTIN;MARTIN
283;283;Brawe, Joachim Wilhelm von;Der Freigeist;1758;KLERDON;KLERDON;KLERDON;KLERDON
417;417;Schlegel, Johann Elias;Canut;1746;ESTRITHE;ESTRITHE;ESTRITHE;ESTRITHE
133;133;Stephanie, Johann Gottlieb (der Jüngere);Die Liebe im Narrenhause;1787;CLÄRCHEN;SEVERAL;SEVERAL;SEVERAL
291;291;Weiße, Christian Felix;Atreus und Thyest;1766;AEGISTH;SEVERAL;SEVERAL;SEVERAL
208;208;Kleist, Heinrich von;Das Käthchen von Heilbronn oder die Feuerprobe;1810;DER GRAF VOM STRAHL;DER GRAF VOM STRAHL;DER GRAF VOM STRAHL;DER GRAF VOM STRAHL
328;328;Schlegel, Johann Elias;Die stumme Schönheit;1747;JUNGWITZ;JUNGWITZ;JUNGWITZ;JUNGWITZ
78;78;Kleist, Heinrich von;Die Hermannsschlacht;1808;HERMANN;HERMANN;HERMANN;HERMANN
454;454;Mosenthal, Salomon Hermann von;Das goldene Kreuz;1875;SEVERAL;SEVERAL;SEVERAL;SEVERAL
304;304;Anzengruber, Ludwig;Die Kreuzelschreiber;1872;STEINKLOPFERHANNS;STEINKLOPFERHANNS;JOSEPHA;STEINKLOPFERHANNS
418;418;Sorge, Reinhard Johannes;Odysseus;1912;SEVERAL;SEVERAL;SEVERAL;SEVERAL
182;182;Scheerbart, Paul;Der vornehme Räuberhauptmann;1904;KNOBLAUCH;KNOBLAUCH;KNOBLAUCH;KNOBLAUCH
134;134;Bauernfeld, Eduard von;Großjährig;1846;AUGUSTE;SEVERAL;SEVERAL;SEVERAL
92;92;Birch-Pfeiffer, Charlotte;Vatersorgen;1849;KRABBE;SEVERAL;SEVERAL;SEVERAL
104;104;Hauptmann, Carl;Ephraims Breite;1900;BREITE;BAUER;BAUER;BAUER
183;183;Scheerbart, Paul;Das dumme Luder;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
214;214;Rilke, Rainer Maria;Ohne Gegenwart;1898;SEVERAL;SEVERAL;SEVERAL;SEVERAL
234;234;Schlegel, August Wilhelm;Jon;1802;JON;SEVERAL;SEVERAL;SEVERAL
90;90;Beer, Michael;Struensee;1828;GRAF STRUENSEE;SEVERAL;GRAF STRUENSEE;GRAF STRUENSEE
450;450;Soden, Julius von;Doktor Faust;1797;DOKTOR FAUST;DOKTOR FAUST;DOKTOR FAUST;DOKTOR FAUST
337;337;Anzengruber, Ludwig;Der Pfarrer von Kirchfeld;1870;HELL;SCHULMEISTER;SCHULMEISTER;SCHULMEISTER
422;422;Wagner, Richard;Die Meistersinger von Nürnberg;1868;SACHS;SEVERAL;SEVERAL;SEVERAL
64;64;Vischer, Friedrich Theodor;Faust;1862;FAUST;VALENTIN;VALENTIN;VALENTIN
29;29;Heiseler, Henry von;Die Kinder Godunófs;1929;BORÍS;BORÍS;BORÍS;BORÍS
400;400;Lenz, Jakob Michael Reinhold;Der neue Menoza oder Geschichte des cumbanischen Prinzen Tandi;1774;PRINZ;SEVERAL;GRAF;GRAF
127;127;Hofmannsthal, Hugo von;Der Tod des Tizian;1901;SEVERAL;SEVERAL;SEVERAL;SEVERAL
326;326;Gellert, Christian Fürchtegott;Die zärtlichen Schwestern;1747;LOTTCHEN;SEVERAL;SEVERAL;SEVERAL
23;23;Wedekind, Frank;Hidalla oder Sein und Haben;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
318;318;Cornelius, Peter;Der Barbier von Bagdad;1858;ABUL;ABUL;ABUL;ABUL
397;397;Schlegel, Johann Elias;Der geschäftige Müßiggänger;1743;FRAU SYLVESTERINN;FRAU SYLVESTERINN;FRAU SYLVESTERINN;FRAU SYLVESTERINN
14;14;Weidmann, Paul;Johann Faust;1775;FAUST;SEVERAL;WAGNER;SEVERAL
162;162;Roeber, Friedrich;König Manfred;1867;MANFRED;GHISMONDE;GHISMONDE;GHISMONDE
73;73;Thoma, Ludwig;Magdalena;1912;THOMAS;THOMAS;THOMAS;THOMAS
301;301;Arnim, Ludwig Achim von;Halle;1811;CARDENIO;CARDENIO;CARDENIO;CARDENIO
175;175;Wagner, Richard;Lohengrin;1850;DIE MÄNNER;DIE MÄNNER;DIE MÄNNER;DIE MÄNNER
86;86;Schiller, Friedrich;Die Piccolomini;1799;SEVERAL;TERZKY;ERSTER BEDIENTER;TERZKY
308;308;Raimund, Ferdinand;Der Alpenkönig und der Menschenfeind;1828;RAPPELKOPF;RAPPELKOPF;RAPPELKOPF;RAPPELKOPF
452;452;Schiller, Friedrich;Wilhelm Tell;1804;SEVERAL;TELL;TELL;TELL
220;220;Gottsched, Luise Adelgunde Victorie;Das Testament;1745;FRÄULEIN AMALIE;SEVERAL;FRAU VON TIEFENBORN;SEVERAL
101;101;Hebbel, Friedrich;Herodes und Mariamne;1849;SEVERAL;TITUS;JUDAS;TITUS
205;205;Schnitzler, Arthur;Der tapfere Cassian;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
260;260;Leisewitz, Johann Anton;Die Pfandung;1774;SEVERAL;SEVERAL;SEVERAL;SEVERAL
